Favwon,Prior,Market,Bet,Kelly,Month,Numberofsets,Wrank,Lrank,Markettotal
1,0.57960919,0.045249887,1,0.11874358,2,3,32,47,0.534359303
1,0.595285303,-0.275946619,1,0.266657892,2,3,62,121,0.871231922
1,0.879443288,-0.086506966,1,0.007430486,2,3,3,296,0.965950254
1,0.720661099,-0.180564568,1,0.112603665,2,3,12,113,0.901225667
1,0.737776882,-0.184222012,1,0.112600196,2,3,7,65,0.921998894
1,0.536339237,-0.198090846,1,0.215921359,2,3,73,104,0.734430082
1,0.647926716,-0.229574161,1,0.185388214,2,3,30,173,0.877500878
0,0.540608281,-0.193390544,1,0,2,3,20,135,0.733998826
1,0.691875455,-0.089863132,1,0.0069459,2,3,74,677,0.781738587
1,0.622810695,0.006363894,1,0.357511935,2,3,51,93,0.616446801
0,0.563319663,-0.043623769,0,0,2,3,70,76,0.606943433
1,0.683422193,-0.142750973,1,0.072619337,2,3,18,110,0.826173166
1,0.577323548,-0.046117849,1,0.265456639,2,3,74,96,0.623441397
1,0.676094762,0.037280401,1,0.178571023,2,3,23,37,0.638814361
1,0.676218838,0.097381144,1,0.427065514,2,3,66,244,0.578837694
0,0.506770675,-0.077205031,1,0.036310027,2,3,40,60,0.583975707
1,0.720139985,-0.030610766,0,0.005261658,2,3,8,53,0.750750751
1,0.66561276,-0.081101697,1,0.001078522,2,3,112,283,0.746714456
1,0.600724908,-0.202616994,1,0.17789501,2,3,31,101,0.803341902
1,0.737174156,0.017646166,1,0.181147332,2,3,11,32,0.71952799
1,0.796257205,-0.038049486,0,0,2,3,133,135,0.834306691
1,0.550559652,-0.115574108,1,0.265742807,2,3,120,244,0.66613376
0,0.771931031,-0.058633753,1,0,2,3,3,30,0.830564784
1,0.680911879,0.089685676,1,0.288010475,2,3,81,154,0.591226203
1,0.600646185,-0.107569112,1,0.053430802,2,3,41,41,0.708215297
1,0.531846944,-0.1257882,1,0.117275493,2,3,17,23,0.657635144
1,0.562814577,-0.07404697,1,0.016266279,2,3,109,169,0.636861546
1,0.626527163,0.003939689,1,0.06348517,2,3,21,60,0.622587474
1,0.671335813,0.101145369,1,0.296522899,2,3,117,214,0.570190444
1,0.541352093,-0.167365129,1,0.165566993,2,3,62,79,0.708717222
0,0.580404431,-0.098113686,1,0,2,3,7,52,0.678518116
1,0.51772082,-0.038081759,0,0,2,3,99,111,0.555802579
0,0.512306216,-0.031881856,0,0,2,3,95,120,0.544188071
1,0.629943189,-0.004252651,0,0.043471333,2,3,31,41,0.63419584
1,0.785113393,-0.087182489,1,0,2,3,12,105,0.872295883
1,0.797890786,-0.000576158,0,0.172930236,2,3,11,44,0.798466943
1,0.584327766,-0.118511705,1,0.076730671,2,3,73,129,0.702839471
1,0.58319023,-0.038932452,0,0,2,3,21,30,0.622122683
0,0.51952544,-0.060520964,1,0.063099523,2,3,62,73,0.580046404
1,0.654968766,0.085298035,1,0.254764547,2,3,111,244,0.56967073
0,0.502414665,-0.105561989,1,0.06558753,2,3,93,96,0.607976654
0,0.526147796,-0.041453521,1,0.052852969,2,3,8,17,0.567601317
0,0.575361602,0.037900568,1,0,2,3,112,154,0.537461034
1,0.581272259,0.040556351,1,0.109236902,2,3,52,135,0.540715908
1,0.591068594,-0.160246207,1,0.134792386,2,3,18,112,0.751314801
1,0.769211888,-0.105985031,1,0.020371399,2,3,12,117,0.875196919
1,0.562185344,-0.256815475,1,0.256397867,2,3,31,93,0.819000819
1,0.710001775,-0.079887641,1,0,2,3,18,70,0.789889415
1,0.683264796,-0.006580678,0,0.068877086,2,3,11,21,0.689845475
1,0.545768634,-0.163954574,1,0.303447119,2,3,62,244,0.709723208
0,0.523468185,-0.091462328,1,0.066627314,2,3,17,135,0.614930513
0,0.556480597,-0.028999497,0,0,2,3,77,169,0.585480094
0,0.701332905,-0.160884718,1,0,2,3,12,244,0.862217624
0,0.567265258,-0.090802654,1,0,2,3,18,31,0.658067913
1,0.650408469,-0.001992367,0,0.060747304,2,3,11,135,0.652400835
1,0.763689028,-0.0082733,0,0.117299105,2,3,12,169,0.771962328
1,0.595980579,-0.150622378,1,0.120635531,2,3,61,198,0.746602957
0,0.715100054,-0.076790982,1,0,2,3,8,44,0.791891036
1,0.698464868,-0.112170671,1,0.036009592,2,3,34,107,0.810635538
1,0.506668836,-0.161668675,1,0.189715267,2,3,35,99,0.66833751
1,0.716385232,-0.009725718,0,0.078886865,2,3,24,56,0.72611095
0,0.560668327,-0.103695213,1,0,2,3,57,75,0.66436354
1,0.813504452,-0.110368423,1,0.021146633,2,3,11,79,0.923872875
0,0.702061816,-0.094877935,1,0,2,3,28,98,0.796939751
0,0.557770654,-0.142117364,1,0,2,3,70,74,0.699888018
0,0.615595926,-0.080395165,1,0,2,3,71,105,0.695991091
1,0.537967295,-0.021082321,0,0,2,3,104,236,0.559049616
1,0.807503026,-0.104240227,1,0.020951855,2,3,5,66,0.911743253
1,0.706292771,-0.202963457,1,0.141439743,2,3,77,739,0.909256228
1,0.715147796,-0.081030548,1,0,2,3,138,240,0.796178344
1,0.763154333,0.003737565,1,0.159019056,2,3,58,171,0.759416768
1,0.665073325,-0.070220792,1,0,2,3,29,102,0.735294118
1,0.543718615,-0.221509423,1,0.359416002,2,3,53,108,0.765228038
0,0.549652433,-0.09333101,1,0,2,3,76,89,0.642983443
0,0.575696905,-0.021389315,0,0,2,3,78,141,0.597086219
0,0.634262488,-0.137580673,1,0,2,3,111,113,0.771843161
1,0.662055903,-0.066276217,1,0,2,3,32,52,0.728332119
1,0.76982215,-0.084294694,1,0,2,3,4,164,0.854116843
1,0.524200625,-0.075199974,1,0.113162848,2,3,123,157,0.599400599
0,0.56209598,-0.164437005,1,0,2,3,118,121,0.726532985
